category,vendor,description,amount
Entertainment,Spotify,game music #8195,41.32
Food & Dining,Chipotle,lunch meal,27.88
Transportation,BP,gas fuel #2700,72.98
Shopping,Amazon,accessories,283.41
Transportation,Metro,taxi gas ride #7174,42.43
Shopping,Amazon,purchase #2234,158.8
Healthcare,Local Clinic,doctor #1086,386.4
Food & Dining,Subway,dinner meal,707.43
Groceries,Walmart,bread dairy,112.82
Transportation,Uber,gas fuel,52.93
Others,Various Services,other payment,247.12
Groceries,Kroger,bread,97.61
Others,Miscellaneous,service other,397.08
Entertainment,Steam,music game streaming,10.27
Bills & Utilities,AT&T,utility payment,318.85
Bills & Utilities,Electric Company,payment service monthly #5829,388.24
Entertainment,Xbox,movie,45.63
Groceries,Walmart,food produce groceries,41.61
Bills & Utilities,AT&T,monthly payment,448.21
Shopping,Nike,electronics,37.64
Others,Various Services,general #2505,435.31
Transportation,Metro,taxi transit transportation #8971,69.6
Transportation,Shell,gas,74.86
Groceries,Kroger,bread dairy groceries,48.66
Others,Various Services,payment,986.72
Others,Various Services,other service general,684.6
Healthcare,CVS,medical medicine health,276.15
Bills & Utilities,Electric Company,utility payment #5059,798.55
Groceries,Safeway,groceries produce dairy,37.58
Healthcare,Quest Diagnostics,medicine health doctor,169.68
Entertainment,Spotify,movie music streaming #1397,49.82
Healthcare,Local Clinic,medical medicine doctor,131.32
Food & Dining,Pizza Hut,dinner #4273,358.51
Others,Unknown Vendor,misc other,336.29
Bills & Utilities,Water Service,service,158.31
Shopping,Nike,shoes clothes #3643,228.48
Entertainment,Steam,entertainment music #5392,33.91
Entertainment,Netflix,game streaming,20.04
Food & Dining,McDonalds,delivery dinner meal,558.26
Shopping,Best Buy,accessories clothes electronics,177.41
Entertainment,Spotify,entertainment movie,45.37
Food & Dining,Subway,restaurant,619.33
Healthcare,Walgreens,medical prescription,298.39
Bills & Utilities,AT&T,service utility bill,501.83
Bills & Utilities,AT&T,utility bill,601.93
Food & Dining,Local Restaurant,restaurant lunch delivery,911.78
Shopping,Nike,clothes electronics accessories,99.11
Healthcare,Quest Diagnostics,health,28.31
Shopping,Best Buy,electronics shoes purchase,241.54
Healthcare,Local Clinic,medicine medical #2599,227.42
Shopping,H&M,clothes purchase,290.34
Shopping,Nike,accessories purchase shoes,218.89
Food & Dining,Chipotle,takeout dinner,972.12
Others,Miscellaneous,misc payment,702.01
Groceries,Walmart,dairy,193.26
Entertainment,Netflix,streaming movie,39.47
Bills & Utilities,Water Service,payment,873.57
Healthcare,CVS,medicine medical,290.09
Others,Various Services,general service payment #9078,874.53
Bills & Utilities,Electric Company,payment bill monthly #7867,577.33
Bills & Utilities,AT&T,bill service utility #1792,763.32
Healthcare,Local Clinic,health,207.83
Groceries,Whole Foods,meat #7304,108.45
Bills & Utilities,Verizon,utility payment service #5092,206.19
Shopping,Best Buy,accessories clothes electronics,214.47
Shopping,Best Buy,accessories,107.46
Groceries,Trader Joes,food bread,39.79
Transportation,Shell,fuel gas,57.06
Groceries,Trader Joes,meat food bread,114.07
Food & Dining,McDonalds,dinner lunch takeout,562.73
Healthcare,CVS,health #4247,233.61
Bills & Utilities,Electric Company,payment bill monthly #2901,49.3
Groceries,Whole Foods,dairy food,165.78
Entertainment,AMC Theaters,movie #3821,26.71
Food & Dining,Subway,dinner meal,475.64
Others,Miscellaneous,general other,317.53
Bills & Utilities,Water Service,monthly service bill,285.98
Bills & Utilities,Water Service,payment monthly bill,55.07
Groceries,Trader Joes,meat,24.05
Transportation,BP,fuel transportation gas #2958,33.92
Healthcare,Local Clinic,medical medicine health,492.44
Food & Dining,Subway,delivery dinner lunch,862.8
Bills & Utilities,Electric Company,utility monthly service,774.66
Transportation,Metro,gas #7793,49.11
Transportation,BP,fuel taxi,44.22
Others,Unknown Vendor,misc service,598.17
Shopping,Nike,purchase accessories shoes,196.34
Shopping,H&M,accessories purchase,138.05
Food & Dining,Subway,delivery takeout dinner,743.89
Transportation,Lyft,transit #9527,55.47
Entertainment,AMC Theaters,game streaming music #5360,43.15
Bills & Utilities,AT&T,bill,620.43
Healthcare,CVS,medicine prescription #3995,131.84
Entertainment,Steam,music entertainment,22.01
Healthcare,Walgreens,medical prescription medicine,172.57
Food & Dining,Local Restaurant,delivery dinner,374.79
Entertainment,AMC Theaters,streaming movie entertainment,47.06
Shopping,H&M,shoes,231.06
Healthcare,Walgreens,medical medicine health #4406,163.82
Healthcare,CVS,medicine doctor medical #9547,317.06
Transportation,Metro,ride transportation fuel,34.97
Healthcare,CVS,medical health,440.86
Transportation,Metro,ride,6.91
Food & Dining,McDonalds,restaurant delivery,304.58
Transportation,Shell,taxi transit,50.89
Transportation,Metro,transportation #1606,37.64
Food & Dining,Pizza Hut,meal takeout restaurant,67.77
Entertainment,AMC Theaters,entertainment,36.25
Transportation,Lyft,fuel #7117,53.57
Groceries,Walmart,groceries produce #8215,49.05
Healthcare,Quest Diagnostics,medicine prescription #3284,374.96
Transportation,Shell,fuel #5862,34.86
Food & Dining,Pizza Hut,dinner,951.6
Shopping,Target,shoes,183.95
Healthcare,Walgreens,prescription #1929,193.52
Others,Various Services,service misc general #2295,248.97
Transportation,Lyft,ride gas fuel,6.66
Bills & Utilities,Electric Company,utility #7838,715.22
Bills & Utilities,Verizon,utility monthly payment,906.75
Others,Various Services,service other misc,698.1
Shopping,H&M,clothes,293.3
Others,Various Services,payment #5490,425.87
Transportation,Uber,ride gas #9756,69.89
Food & Dining,Pizza Hut,dinner,49.93
Food & Dining,McDonalds,delivery lunch,365.34
Food & Dining,Subway,takeout meal,844.26
Groceries,Safeway,groceries meat food,198.2
Entertainment,Xbox,movie,48.25
Entertainment,AMC Theaters,movie entertainment #7212,21.17
Entertainment,Xbox,game movie music,11.14
Entertainment,Netflix,movie #6925,42.37
Food & Dining,McDonalds,dinner,451.15
Healthcare,Local Clinic,medicine prescription,132.18
Healthcare,Quest Diagnostics,health doctor,205.25
Healthcare,CVS,medicine medical #4735,195.57
Shopping,Nike,electronics shoes,32.61
Food & Dining,Pizza Hut,meal delivery lunch,838.36
Entertainment,Netflix,game movie streaming,40.44
Transportation,Metro,transportation,35.09
Groceries,Safeway,meat produce dairy,70.97
Healthcare,Quest Diagnostics,medical,72.41
Transportation,Shell,transit taxi gas #5162,21.87
Others,Miscellaneous,misc payment,812.94
Groceries,Walmart,dairy meat food,191.01
Entertainment,Steam,game,32.1
Entertainment,Spotify,game entertainment streaming,39.19
Groceries,Whole Foods,food,149.83
Entertainment,AMC Theaters,game,12.98
Groceries,Safeway,produce #9627,184.03
Others,Miscellaneous,other,688.62
Food & Dining,Chipotle,takeout delivery meal #8341,36.71
Transportation,Metro,taxi gas ride,5.52
Groceries,Safeway,produce meat,157.81
Groceries,Walmart,produce meat,145.39
Food & Dining,Subway,meal takeout delivery,309.86
Others,Miscellaneous,payment general service,245.36
Transportation,Shell,ride gas,14.87
Transportation,Uber,gas ride fuel,75.51
Food & Dining,Local Restaurant,takeout,106.56
Shopping,H&M,electronics,126.66
Entertainment,Steam,music game,25.32
Others,Miscellaneous,general,793.38
Food & Dining,Local Restaurant,dinner takeout lunch,228.37
Groceries,Walmart,produce,31.95
Groceries,Safeway,food produce meat #2895,190.48
Shopping,Amazon,purchase #4448,49.02
Shopping,H&M,electronics #5307,40.75
Transportation,Shell,taxi,71.68
Transportation,Shell,transit fuel taxi,29.01
Shopping,Amazon,shoes #3583,88.06
Transportation,Metro,gas ride,47.35
Groceries,Kroger,meat,90.5
Transportation,Shell,fuel gas,37.61
Food & Dining,Subway,dinner,742.43
Food & Dining,Local Restaurant,delivery lunch meal #2729,578.74
Entertainment,Netflix,streaming #2397,25.38
Bills & Utilities,Verizon,bill #3252,192.07
Groceries,Kroger,groceries food meat,49.55
Others,Unknown Vendor,general,787.72
Food & Dining,McDonalds,delivery,300.0
Groceries,Walmart,food #5059,164.65
Others,Unknown Vendor,misc service payment,169.28
Shopping,H&M,purchase electronics shoes #3241,26.28
Food & Dining,Pizza Hut,lunch meal #4326,319.57
Transportation,BP,gas fuel,18.99
Healthcare,Walgreens,doctor #3794,179.91
Others,Miscellaneous,general misc service,497.44
Food & Dining,Chipotle,takeout,51.99
Food & Dining,Subway,meal,340.01
Food & Dining,Chipotle,delivery meal,516.33
Entertainment,Netflix,game,24.47
Groceries,Kroger,food meat dairy,137.82
Transportation,Metro,gas transit fuel #2179,73.07
Entertainment,AMC Theaters,entertainment,35.32
Entertainment,AMC Theaters,music entertainment,40.97
Healthcare,Local Clinic,medical prescription health,227.09
Groceries,Whole Foods,produce food dairy,39.38
Healthcare,CVS,medicine doctor,151.15
Entertainment,AMC Theaters,game music entertainment #3513,42.39
Transportation,Shell,transit,68.09
Healthcare,Quest Diagnostics,doctor,101.76
Bills & Utilities,Verizon,bill utility payment,293.76
Food & Dining,Pizza Hut,delivery #1776,732.14
Groceries,Walmart,bread,53.17
Food & Dining,Chipotle,delivery takeout #4285,194.79
Entertainment,Netflix,entertainment #8868,34.07
Healthcare,Walgreens,doctor medical,362.78
Groceries,Whole Foods,bread food produce #8158,61.56
Healthcare,Local Clinic,medical,245.76
Groceries,Trader Joes,produce dairy bread,184.32
Groceries,Whole Foods,groceries,178.18
Groceries,Walmart,groceries meat food,144.23
Bills & Utilities,Water Service,monthly,798.69
Bills & Utilities,Verizon,utility,188.22
Shopping,Nike,accessories #7544,280.2
Transportation,Shell,gas,54.5
Transportation,Lyft,taxi #9316,78.52
Healthcare,Local Clinic,health,133.31
Healthcare,Quest Diagnostics,health doctor,168.47
Others,Unknown Vendor,payment general other,839.61
Others,Various Services,other,140.63
Food & Dining,Pizza Hut,lunch delivery,562.46
Entertainment,Spotify,music,13.59
Transportation,Uber,ride taxi transit,16.48
Bills & Utilities,Electric Company,monthly service bill,196.55
Groceries,Whole Foods,dairy food meat #1247,174.28
Bills & Utilities,Electric Company,utility service payment,735.76
Bills & Utilities,AT&T,utility bill payment,171.65
Entertainment,Xbox,music game streaming #1589,29.68
Shopping,H&M,shoes purchase clothes,165.55
Groceries,Kroger,dairy food produce,28.13
Others,Unknown Vendor,general other,366.92
Others,Various Services,payment service #8672,612.98
Transportation,BP,taxi,55.01
Bills & Utilities,Verizon,utility payment,188.1
Others,Unknown Vendor,misc #3776,823.83
Bills & Utilities,AT&T,service,785.08
Others,Miscellaneous,payment general,427.65
Groceries,Kroger,dairy #1335,165.52
Groceries,Safeway,bread groceries,48.08
Entertainment,AMC Theaters,music #2669,24.47
Healthcare,CVS,health,437.43
Others,Various Services,misc service payment #4561,87.12
Bills & Utilities,AT&T,utility service,327.71
Transportation,Shell,taxi #9061,59.91
Food & Dining,Subway,dinner,641.62
Groceries,Safeway,meat bread produce,34.5
Others,Unknown Vendor,misc payment general,636.39
Healthcare,CVS,prescription medical #1245,76.43
Bills & Utilities,Water Service,payment bill monthly #1555,327.44
Healthcare,CVS,medical #2409,398.17
Shopping,H&M,shoes #6730,119.63
Groceries,Whole Foods,meat bread,58.22
Transportation,Metro,gas transportation transit,33.63
Shopping,Nike,clothes shoes accessories #8900,129.28
Transportation,Shell,fuel taxi transit #2749,46.79
Groceries,Safeway,dairy #5084,139.34
Transportation,BP,taxi,64.41
Entertainment,AMC Theaters,movie #3025,44.3
Entertainment,Steam,game entertainment,17.49
Others,Miscellaneous,service other general #4232,179.65
Shopping,Target,clothes purchase,55.98
Entertainment,Spotify,game,12.67
Food & Dining,Chipotle,restaurant delivery,132.01
Transportation,Lyft,gas transit,51.85
Food & Dining,Chipotle,meal,428.91
Bills & Utilities,Water Service,monthly,909.89
Others,Miscellaneous,general payment #3483,663.85
Food & Dining,McDonalds,dinner,550.6
Entertainment,Xbox,game streaming entertainment #2812,33.42
Healthcare,Quest Diagnostics,medicine prescription,55.91
Bills & Utilities,Electric Company,utility monthly service,132.05
Others,Miscellaneous,payment general other #6031,482.33
Groceries,Safeway,produce meat dairy,156.19
Food & Dining,Local Restaurant,takeout lunch dinner,525.55
Shopping,H&M,electronics shoes #7900,173.1
Transportation,Shell,gas,11.47
Healthcare,Walgreens,medicine,388.04
Groceries,Walmart,dairy meat groceries #9169,100.99
Entertainment,Spotify,game music,20.35
Bills & Utilities,AT&T,bill utility monthly #3676,776.7
Shopping,Nike,electronics shoes purchase,32.92
Shopping,Target,electronics shoes,230.93
Food & Dining,Local Restaurant,meal restaurant takeout,575.25
Others,Miscellaneous,other,923.19
Groceries,Whole Foods,meat groceries bread #8239,95.34
Shopping,Target,accessories shoes #5568,90.18
Groceries,Trader Joes,food produce dairy,22.08
Healthcare,CVS,doctor health medical,468.05
Shopping,Best Buy,accessories purchase,158.62
Groceries,Kroger,bread food #6594,41.79
Bills & Utilities,Water Service,bill payment utility #2258,475.56
Groceries,Safeway,groceries,44.99
Bills & Utilities,Electric Company,utility service,137.88
Others,Miscellaneous,other general misc,37.37
Healthcare,Local Clinic,prescription,263.96
Entertainment,Steam,game #8140,30.09
Bills & Utilities,Electric Company,payment #8088,231.76
Healthcare,CVS,prescription,101.57
Shopping,Amazon,shoes,87.03
Food & Dining,Chipotle,delivery dinner,388.68
Bills & Utilities,Electric Company,utility,478.42
Healthcare,Quest Diagnostics,medicine,497.91
Others,Unknown Vendor,general other #2326,529.72
Groceries,Walmart,meat,77.49
Others,Miscellaneous,payment other service #5504,705.31
Groceries,Kroger,bread dairy produce,71.93
Healthcare,Walgreens,medical prescription health #8631,68.41
Healthcare,Walgreens,health doctor medicine,199.63
Groceries,Whole Foods,groceries produce food,129.55
Groceries,Whole Foods,produce food,193.97
Others,Various Services,service other payment #9499,952.5
Groceries,Whole Foods,meat food groceries #5266,106.76
Transportation,Shell,taxi,46.33
Groceries,Kroger,dairy #3340,163.82
Groceries,Whole Foods,meat food dairy #7997,196.37
Bills & Utilities,Verizon,service monthly payment,402.72
Shopping,Nike,purchase electronics clothes #8742,75.04
Food & Dining,McDonalds,lunch meal #8448,201.96
Shopping,Amazon,accessories,178.18
Food & Dining,McDonalds,lunch restaurant,139.37
Groceries,Trader Joes,food dairy produce,82.01
Bills & Utilities,Verizon,payment #4637,805.88
Shopping,H&M,purchase accessories shoes #2848,194.2
Bills & Utilities,Electric Company,monthly bill,658.05
Food & Dining,Local Restaurant,delivery,456.95
Shopping,Amazon,clothes shoes,217.01
Shopping,Best Buy,accessories #5927,251.63
Food & Dining,Subway,meal restaurant,511.65
Transportation,BP,taxi gas,34.7
Groceries,Safeway,dairy food groceries,128.01
Entertainment,Xbox,streaming game music #8934,22.84
Shopping,Best Buy,shoes accessories purchase #4974,54.78
Healthcare,Walgreens,medicine doctor health #2869,498.22
Food & Dining,Pizza Hut,takeout,246.7
Entertainment,Spotify,music movie streaming,43.07
Entertainment,Steam,game movie,15.58
Transportation,BP,transportation ride taxi #8579,75.96
Groceries,Walmart,meat #3080,117.19
Shopping,Best Buy,purchase,192.32
Bills & Utilities,Verizon,monthly bill,602.67
Shopping,Best Buy,purchase,134.42
Healthcare,CVS,medical prescription #9354,460.99
Transportation,Metro,fuel gas #8787,73.07
Shopping,Target,accessories shoes #8974,27.18
Healthcare,Walgreens,medicine medical prescription,400.48
Food & Dining,Pizza Hut,restaurant meal takeout #5541,696.61
Shopping,Target,shoes clothes,118.47
Others,Unknown Vendor,other,768.67
Food & Dining,Chipotle,takeout,891.58
Others,Various Services,general other,383.74
Food & Dining,Chipotle,meal takeout,865.09
Bills & Utilities,Water Service,bill #5802,311.77
Food & Dining,Pizza Hut,takeout,593.83
Food & Dining,Subway,lunch restaurant,402.53
Food & Dining,Subway,meal #4033,150.04
Shopping,Amazon,accessories purchase #6333,54.67
Entertainment,Netflix,entertainment movie game,12.65
Food & Dining,Chipotle,lunch #6334,249.98
Food & Dining,McDonalds,meal restaurant,41.46
Food & Dining,Local Restaurant,lunch dinner,296.16
Others,Miscellaneous,service,629.3
Entertainment,Xbox,music movie,34.15
Food & Dining,Subway,takeout restaurant,570.13
Bills & Utilities,Electric Company,bill service,947.95
Food & Dining,Local Restaurant,delivery lunch meal,851.95
Transportation,Lyft,transportation transit,38.6
Bills & Utilities,AT&T,service utility #8628,414.28
Healthcare,Quest Diagnostics,health doctor,225.8
Shopping,H&M,accessories,70.53
Groceries,Kroger,produce groceries,106.24
Bills & Utilities,AT&T,service,39.93
Groceries,Kroger,groceries produce,188.74
Healthcare,Local Clinic,medicine,435.97
Bills & Utilities,Electric Company,payment utility monthly,677.56
Food & Dining,McDonalds,dinner delivery #8276,661.11
Groceries,Trader Joes,food groceries,120.88
Entertainment,Steam,movie,47.05
Healthcare,Walgreens,medical,149.77
Healthcare,Quest Diagnostics,prescription,128.91
Healthcare,CVS,medicine health,392.52
Others,Unknown Vendor,payment,234.63
Shopping,H&M,accessories purchase #6863,176.78
Transportation,Uber,taxi transit #6348,21.18
Transportation,Shell,transit transportation gas #2680,69.09
Bills & Utilities,Verizon,utility service payment,167.56
Food & Dining,McDonalds,meal,593.28
Healthcare,Walgreens,prescription doctor medicine,326.46
Transportation,Lyft,gas fuel,60.74
Shopping,Target,accessories clothes shoes,131.18
Entertainment,AMC Theaters,game entertainment movie,47.57
Bills & Utilities,AT&T,service #5534,301.2
Shopping,Amazon,purchase shoes accessories #3292,140.33
Shopping,Target,shoes #1841,142.42
Bills & Utilities,AT&T,service monthly payment,267.53
Others,Unknown Vendor,general service,191.42
Entertainment,Xbox,music,36.7
Bills & Utilities,Water Service,monthly,639.84
Food & Dining,McDonalds,lunch,72.63
Others,Miscellaneous,misc service,636.11
Transportation,Uber,fuel gas transportation,34.88
Entertainment,Netflix,music #5930,17.62
Food & Dining,Subway,delivery takeout meal,923.3
Others,Various Services,payment other misc,740.98
Entertainment,Xbox,streaming,26.8
Healthcare,Walgreens,health,100.89
Others,Miscellaneous,payment other,151.85
Healthcare,Local Clinic,doctor medicine #7360,475.12
Food & Dining,Local Restaurant,lunch takeout #6739,109.07
Entertainment,Spotify,game,49.51
Others,Miscellaneous,general,219.82
Groceries,Walmart,groceries produce bread,22.2
Healthcare,CVS,medicine,451.68
Others,Various Services,payment other general,942.21
Others,Miscellaneous,payment,275.15
Others,Unknown Vendor,service general payment,70.03
Bills & Utilities,Electric Company,service utility #9196,731.8
Bills & Utilities,Verizon,utility payment monthly,629.97
Bills & Utilities,Water Service,bill service,147.52
Bills & Utilities,AT&T,payment #3984,108.93
Shopping,Best Buy,purchase,31.3
Healthcare,Quest Diagnostics,medicine,312.68
Healthcare,Walgreens,medicine #9031,308.0
Groceries,Trader Joes,meat food,181.26
Transportation,Lyft,ride,55.09
Groceries,Trader Joes,bread meat dairy,192.57
Entertainment,AMC Theaters,music,39.31
Others,Unknown Vendor,general,119.12
Food & Dining,Local Restaurant,takeout dinner,268.27
Shopping,Best Buy,shoes purchase,86.87
Others,Unknown Vendor,other general,348.0
Others,Miscellaneous,service,891.5
Groceries,Trader Joes,food dairy,20.67
Bills & Utilities,Verizon,utility payment,484.96
Food & Dining,Chipotle,lunch dinner restaurant,86.02
Groceries,Trader Joes,groceries,74.32
Healthcare,Local Clinic,prescription medical medicine #7004,379.03
Bills & Utilities,Electric Company,service #2504,352.39
Entertainment,AMC Theaters,streaming entertainment,39.44
Bills & Utilities,Water Service,service,975.37
Groceries,Kroger,food dairy,85.25
Healthcare,Quest Diagnostics,doctor,413.42
Food & Dining,Pizza Hut,meal,847.38
Healthcare,Walgreens,medical,342.52
Transportation,Lyft,ride fuel #6748,5.29
Shopping,H&M,clothes electronics shoes,38.0
Groceries,Kroger,food produce dairy,54.34
Others,Miscellaneous,other misc general,814.29
Groceries,Kroger,meat,176.93
Shopping,H&M,accessories clothes purchase,96.94
Transportation,BP,transportation gas taxi #6755,49.68
Transportation,Lyft,ride,55.89
Groceries,Walmart,meat,38.45
Food & Dining,Pizza Hut,lunch meal,685.24
Food & Dining,Chipotle,meal #6953,825.4
Entertainment,Netflix,movie streaming music #5049,36.28
Bills & Utilities,Water Service,utility bill #2020,804.11
Entertainment,Spotify,streaming movie game #7328,19.84
Transportation,Uber,transportation transit ride #6819,33.01
Food & Dining,Subway,meal,897.19
Bills & Utilities,AT&T,monthly payment utility #6670,505.29
Healthcare,CVS,health medicine doctor,368.98
Others,Various Services,other general,596.45
Others,Various Services,payment misc general,14.13
Bills & Utilities,Water Service,monthly utility bill #7575,920.07
Healthcare,Local Clinic,health medical,421.28
Entertainment,AMC Theaters,streaming entertainment game #1107,30.96
Healthcare,Walgreens,medicine medical,454.24
Shopping,H&M,accessories,225.25
Transportation,Shell,gas ride taxi #5553,26.48
Shopping,Best Buy,accessories electronics clothes,226.15
Others,Unknown Vendor,other,986.37
Food & Dining,Subway,delivery,226.73
Shopping,Target,shoes clothes electronics,259.07
Bills & Utilities,Electric Company,payment bill utility,901.99
Bills & Utilities,AT&T,payment monthly,785.44
Entertainment,Netflix,music streaming #9618,40.36
Groceries,Whole Foods,bread produce food #6742,78.45
Shopping,H&M,clothes purchase shoes,243.78
Food & Dining,Chipotle,dinner lunch meal #6456,853.52
Shopping,Nike,accessories purchase,138.17
Entertainment,Xbox,streaming,30.46
Bills & Utilities,AT&T,bill monthly service,150.8
Others,Unknown Vendor,misc service other,599.46
Groceries,Kroger,meat food #8423,132.81
Healthcare,Quest Diagnostics,medicine #5727,400.94
Food & Dining,McDonalds,dinner delivery takeout,427.05
Bills & Utilities,Verizon,payment,568.03
Groceries,Whole Foods,groceries food #1226,42.26
Food & Dining,Local Restaurant,meal dinner lunch,40.48
Healthcare,Quest Diagnostics,medical medicine #1962,150.36
Groceries,Safeway,food,117.54
Healthcare,Walgreens,medical health doctor,412.2
Groceries,Walmart,produce food,101.94
Food & Dining,Chipotle,lunch dinner,359.61
Bills & Utilities,Electric Company,service monthly,528.19
Transportation,Metro,ride transportation taxi #3587,78.32
Others,Unknown Vendor,general,438.96
Groceries,Walmart,groceries meat food #6906,117.42
Groceries,Kroger,dairy produce #5446,74.37
Shopping,Best Buy,purchase,105.62
Entertainment,Xbox,music entertainment,34.68
Shopping,Target,electronics accessories shoes,298.66
Transportation,Metro,gas transportation fuel,44.59
Transportation,Uber,ride,44.01
Shopping,H&M,clothes electronics,202.73
Transportation,Metro,gas transportation,65.51
Food & Dining,Pizza Hut,meal takeout,894.29
Transportation,Metro,fuel transit taxi #6729,32.49
Shopping,H&M,accessories #6262,213.49
Groceries,Walmart,meat #6062,138.51
Food & Dining,Chipotle,restaurant takeout lunch #4751,569.3
Others,Miscellaneous,other,944.69
Transportation,Lyft,transportation gas ride,30.74
Bills & Utilities,AT&T,monthly,433.92
Others,Miscellaneous,general service,869.06
Food & Dining,Pizza Hut,takeout dinner,668.93
Groceries,Trader Joes,groceries produce bread,95.59
Others,Miscellaneous,payment misc #5491,202.02
Healthcare,Quest Diagnostics,doctor,111.74
Groceries,Trader Joes,produce dairy,122.81
Food & Dining,McDonalds,takeout #3644,531.38
Healthcare,Local Clinic,medical doctor medicine,76.61
Food & Dining,Subway,restaurant,847.56
Healthcare,CVS,prescription medicine,256.93
Transportation,Uber,gas transit fuel #2127,33.05
Others,Various Services,other general #1737,595.39
Healthcare,Local Clinic,prescription medicine medical,312.9
Entertainment,Steam,streaming entertainment movie #6640,19.78
Groceries,Kroger,food meat produce #1972,148.5
Others,Miscellaneous,payment #7750,280.42
Healthcare,Local Clinic,prescription,330.48
Entertainment,Spotify,entertainment #5636,14.24
Transportation,Uber,fuel #3722,59.42
Others,Various Services,other service misc #8302,724.2
Food & Dining,Subway,restaurant takeout,293.44
Others,Various Services,general,707.69
Groceries,Walmart,meat bread produce #3728,112.68
Entertainment,Steam,entertainment movie #3834,44.25
Healthcare,Local Clinic,medicine doctor health,180.87
Entertainment,Xbox,movie music entertainment,20.73
Bills & Utilities,AT&T,monthly,250.77
Others,Various Services,service misc general,486.84
Others,Miscellaneous,service other misc,182.19
Entertainment,Netflix,entertainment streaming music,41.63
Shopping,Amazon,clothes electronics purchase,153.07
Healthcare,Local Clinic,medicine #6648,477.73
Others,Miscellaneous,general,373.38
Food & Dining,Pizza Hut,dinner delivery,900.41
Shopping,Best Buy,accessories purchase,190.35
Groceries,Trader Joes,produce,102.75
Groceries,Trader Joes,groceries produce,74.97
Bills & Utilities,Electric Company,service,516.5
Shopping,Best Buy,shoes clothes,44.83
Transportation,BP,transportation,25.84
Entertainment,Netflix,music game entertainment,13.52
Others,Unknown Vendor,service,510.15
Healthcare,Local Clinic,prescription medical health #4046,144.36
Transportation,Metro,transit,51.18
Others,Miscellaneous,payment,671.47
Shopping,Target,purchase electronics accessories,92.58
Bills & Utilities,Electric Company,utility service,238.23
Groceries,Whole Foods,produce,193.7
Shopping,Target,accessories shoes,151.76
Healthcare,CVS,doctor #1667,468.58
Transportation,Lyft,taxi,29.9
Healthcare,CVS,health medicine,126.98
Healthcare,Quest Diagnostics,medical,284.42
Entertainment,Steam,streaming music,49.75
Food & Dining,Local Restaurant,restaurant,343.76
Bills & Utilities,Water Service,payment service,269.41
Bills & Utilities,AT&T,payment utility #2790,776.81
Others,Unknown Vendor,service,682.32
Bills & Utilities,Electric Company,utility #2014,134.91
Others,Unknown Vendor,payment misc,213.57
Healthcare,Walgreens,medicine medical prescription #6021,440.01
Groceries,Walmart,meat #9254,124.08
Healthcare,Local Clinic,prescription #7960,358.28
Transportation,Lyft,ride taxi fuel #9545,33.51
Groceries,Trader Joes,groceries,70.27
Food & Dining,Local Restaurant,dinner takeout restaurant #8792,507.51
Others,Unknown Vendor,general,721.63
Groceries,Walmart,dairy,59.25
Transportation,Uber,ride,31.05
Entertainment,Netflix,streaming,36.04
Transportation,Uber,transportation fuel,58.07
Transportation,Uber,fuel transit ride,17.13
Food & Dining,Local Restaurant,dinner meal #3512,267.2
Entertainment,Steam,streaming movie,15.9
Groceries,Safeway,dairy,178.87
Others,Unknown Vendor,payment general #9650,987.98
Food & Dining,Chipotle,restaurant lunch,631.15
Others,Miscellaneous,misc #8626,74.56
Entertainment,Spotify,entertainment game,20.01
Food & Dining,Local Restaurant,delivery dinner restaurant,57.66
Shopping,Amazon,purchase clothes,242.79
Entertainment,Netflix,entertainment,15.86
Food & Dining,Local Restaurant,dinner lunch,178.98
Healthcare,CVS,doctor medicine prescription #1794,404.89
Healthcare,Quest Diagnostics,health,200.43
Entertainment,Netflix,streaming entertainment,21.02
Bills & Utilities,Electric Company,bill payment utility,600.19
Healthcare,Local Clinic,medical prescription,441.55
Others,Unknown Vendor,payment,650.56
Others,Miscellaneous,other,325.18
Others,Various Services,misc other service,569.47
Groceries,Safeway,meat produce food,104.09
Entertainment,AMC Theaters,entertainment #2933,31.93
Bills & Utilities,AT&T,utility bill,402.26
Entertainment,Netflix,streaming #6928,32.55
Transportation,BP,transportation,5.27
Transportation,Uber,transportation ride gas,65.37
Groceries,Whole Foods,dairy produce,188.76
Entertainment,Spotify,music,44.63
Bills & Utilities,AT&T,bill,21.51
Others,Unknown Vendor,service payment general,877.61
Bills & Utilities,Verizon,utility bill #6424,464.91
Transportation,Shell,transit gas,26.51
Bills & Utilities,Verizon,payment #6013,302.05
Groceries,Safeway,groceries produce,179.53
Groceries,Walmart,bread,104.79
Shopping,Target,accessories,233.12
Healthcare,Walgreens,prescription,191.72
Entertainment,Steam,streaming,46.2
Shopping,Best Buy,clothes purchase electronics,93.48
Transportation,Lyft,fuel #6421,25.31
Entertainment,Netflix,entertainment game,27.49
Transportation,Lyft,gas,33.44
Healthcare,Quest Diagnostics,doctor #3752,355.34
Transportation,Uber,transportation taxi ride,32.01
Bills & Utilities,Water Service,monthly #6191,69.27
Groceries,Safeway,food groceries bread,183.23
Healthcare,Local Clinic,health #4823,206.77
Bills & Utilities,Verizon,monthly bill,428.04
Transportation,Shell,taxi,63.91
Transportation,Lyft,transportation transit ride,25.8
Shopping,Amazon,purchase,141.95
